,project_name,total_scenarios,total_resolvedIntelliMerge,reduced_conflict_intellimerge,increased_conflict_intellimerge,same_conflict_intellimerge,total_resolvedRefMerge,reduced_conflict_refmerge,increased_conflict_refmerge,same_conflict_refmerge
0,error-prone,9,1,2 (91%),5 (417%),1,0,3 (33%),0 (0%),6
1,junit,14,1,5 (60%),7 (233%),1,1,0 (0%),5 (25%),8
2,storm,33,1,3 (25%),26 (233%),3,0,4 (25%),1 (6%),28
3,javaparser,23,3,3 (90%),10 (369%),7,0,5 (80%),4 (21%),14
4,antlr4,100,1,4 (27%),93 (480%),2,1,7 (5%),21 (13%),71
5,realm-java,92,8,22 (50%),48 (200%),14,8,13 (21%),7 (40%),64
6,gradle,118,3,10 (33%),99 (460%),6,10,18 (19%),20 (45%),70
7,platform_frameworks_support,95,32,8 (51%),52 (617%),3,7,9 (25%),16 (13%),63
8,cometd,63,3,3 (23%),52 (809%),5,5,6 (25%),5 (11%),47
9,ProjectE,30,2,4 (15%),22 (94%),2,0,4 (20%),8 (11%),18
10,iFixitAndroid,13,0,6 (57%),7 (100%),0,1,3 (96%),4 (583%),5
11,jackson-core,81,0,0 (0%),80 (1522%),1,3,11 (33%),17 (38%),50
12,MozStumbler,10,0,3 (50%),5 (86%),2,1,4 (24%),2 (21%),3
13,MinecraftForge,14,4,1 (5%),9 (100%),0,0,3 (19%),3 (33%),8
14,druid,17,2,13 (67%),0 (0%),2,1,6 (50%),3 (8%),7
15,androidannotations,15,1,1 (89%),13 (114%),0,0,2 (58%),2 (17%),11
16,android,81,3,21 (40%),52 (124%),5,8,3 (17%),9 (33%),61
17,deeplearning4j,93,3,21 (42%),63 (175%),6,5,6 (9%),13 (29%),69
18,elasticsearch,178,61,7 (27%),104 (300%),6,8,22 (33%),35 (25%),96
19,cassandra,409,95,0 (0%),9 (433%),0,1,0 (0%),10 (15%),139
20,all,1488,224,137 (50%),756 (365%),-1,60,129 (25%),185 (25%),-1
