,project_name,merge_commit_hash
0,error-prone,07559b47674594fdf40f2855f83b492f67f9093c
1,error-prone,d51253011690def06db835d5ad605ca134c94d84
2,error-prone,66a86d1652c383ea3921d03f49f444f1d1000765
3,MozStumbler,9f82c9fcb06597240c07585976d735a260ef508f
4,MozStumbler,1628ff8e30931af210953edde9cf83c8c82c5e35
5,MozStumbler,86412c25e8f454aa518cbc017c77713cfc5f3721
6,iFixitAndroid,91932083f2f73d334f5789182da8117e275dc5f8
7,iFixitAndroid,360ef2ac313f5d5d2ef801c8e1a2fb51bfa781b1
8,javaparser,caf5b8cb738de9f6b48857fd91f18be0617e18fc
9,javaparser,51733f6aeedefc53d63bf2effb6abd681848830d
10,iFixitAndroid,6f269b03b9b8b5dd2425713d17d4f953738b14c8
11,junit,d6ccf5b0fa4e0d62eac42425a593b870af1247bd
12,junit,4f9eee58782d30d873b3739095c8c2e01f59fc7a
13,androidannotations,f2af43618502c40fe07ac9734a3d7ccf11823ca3
14,androidannotations,624582d2d0256602c296e2c4fbc24eaed997eae0
15,androidannotations,c1a719bf3b5782902573b65c3babb112942045da
16,druid,4580108a0214a0caf37d6901d16630acebec46f9
17,druid,1806ab31107a6f860f501dce7ab76ea5b307ebc0
18,MinecraftForge,f5781488d9da0d045cef802cf98af70e80eaa8aa
19,MinecraftForge,c3559b2dbdc6462f496d606e25bf081920b181f9
20,MinecraftForge,038fa17ad33aeba276db84ab170504fce884c1e7
21,cometd,378ff3637fb9cf283be4af32a74c99bbb9a65d8c
22,cometd,7af4a9fe57b813660bcb53a97add6a82fd74eb4b
23,cometd,837f2dc40408c18957a51b11f632123199a3779e
24,ProjectE,285f6252236af78543e30dd0260f7b5feb56d17c
25,ProjectE,12b0545e521f798a818fc37fc2560f8c92bca9ab
26,deeplearning4j,8d1ff15ffcdbf5901db43226a082d5d86f617e15
27,deeplearning4j,6c2853248afe9f0722fb2acad5551f687dc27e52
28,storm,7c1aff5c17b0154a44eb165dafd9e5d1191a823f
29,storm,5b26e9618942ae10b3f47312c71c4a9c9f916c21
30,storm,0a98bee214b46ed20b566a9b49c3eca2895f9fd5
31,jackson-core,c8308ad216af7419ada95a7a6061a792a0db308e
32,jackson-core,5e3d980f704ceca91b263ac42efa30bedcf5a76f
33,realm-java,69b1b30333dd1a33887eaac207a91dca18805212
34,realm-java,a0b7a9c850999d53579111abe438bb47261e183c
35,android,dcb985481be4b3c4e4e805b4aefebae00f9ad3e9
36,android,2946d8dd69cf8d30a3fc2447ac931675989e8eff
37,android,65f403bf994bd84d64eea16072b7bec479c0d525
38,platform_frameworks_support,9c8faddc6db1d9d6eddd199c4f5de9d2d49951d6
39,platform_frameworks_support,7db67e8a96254a3ad0f42e5b074592e5c6a62f80
40,platform_frameworks_support,6c371fc5da43c7841549d0b7573831ca7dd1ca9f
41,antlr4,a760c879fffe935c1f66820a3bef52b3c9458d01
42,antlr4,533c0efefef2a828fa24a72cb0dd6d6af77c6b76
43,gradle,4edf06b1492a9869caf94a37324de9b85bd5af3a
44,elasticsearch,d06a8903fdccf5985bb1b9cbfcb92580d08a544c
45,elasticsearch,503a166b7148a79ac6221894eca4835ef68d3480
46,elasticsearch,e1197dfea98712b085083639f74901d1c6a7e0f2
47,cassandra,12841938a0cd420d626749e91f5f696f26354b03
48,gradle,e3942c8d6a46b5626fae9f0b2b1d95a83b421e58
49,cassandra,b5795ef96496ab8495eecfa84ce0ea07d9f29fe0
